"Date","MCP ","SMP ","Positive Imbalance Price (TL/MWh)","Negative Imbalance Price (TL/MWh)","SMP Direction"
"01.09.20 00:00","302.39","332.39","293.32","342.36","? Energy Deficit"
"01.09.20 01:00","300.25","325.25","291.24","335.01","? Energy Deficit"
"01.09.20 02:00","292.64","317.64","283.86","327.17","? Energy Deficit"
"01.09.20 03:00","290.00","320.00","281.30","329.60","? Energy Deficit"
"01.09.20 04:00","290.00","330.00","281.30","339.90","? Energy Deficit"
"01.09.20 05:00","290.00","339.00","281.30","349.17","? Energy Deficit"
"01.09.20 06:00","292.01","342.01","283.25","352.27","? Energy Deficit"
"01.09.20 07:00","295.39","345.00","286.53","355.35","? Energy Deficit"
"01.09.20 08:00","307.36","338.88","298.14","349.05","? Energy Deficit"
"01.09.20 09:00","314.82","345.82","305.38","356.19","? Energy Deficit"
"01.09.20 10:00","315.76","355.76","306.29","366.43","? Energy Deficit"
"01.09.20 11:00","318.19","388.19","308.64","399.84","? Energy Deficit"
"01.09.20 12:00","314.95","364.95","305.50","375.90","? Energy Deficit"
"01.09.20 13:00","318.87","359.00","309.30","369.77","? Energy Deficit"
"01.09.20 14:00","360.00","430.00","349.20","442.90","? Energy Deficit"
"01.09.20 15:00","400.00","470.00","388.00","484.10","? Energy Deficit"
"01.09.20 16:00","400.00","480.00","388.00","494.40","? Energy Deficit"
"01.09.20 17:00","370.00","464.82","358.90","478.76","? Energy Deficit"
"01.09.20 18:00","319.93","369.93","310.33","381.03","? Energy Deficit"
"01.09.20 19:00","339.99","385.00","329.79","396.55","? Energy Deficit"
"01.09.20 20:00","349.99","410.99","339.49","423.32","? Energy Deficit"
"01.09.20 21:00","318.84","373.84","309.27","385.06","? Energy Deficit"
"01.09.20 22:00","316.10","351.10","306.62","361.63","? Energy Deficit"
"01.09.20 23:00","311.21","349.00","301.87","359.47","? Energy Deficit"
"02.09.20 00:00","310.16","345.16","300.86","355.51","? Energy Deficit"
"02.09.20 01:00","306.74","346.74","297.54","357.14","? Energy Deficit"
"02.09.20 02:00","299.68","340.00","290.69","350.20","? Energy Deficit"
"02.09.20 03:00","296.43","340.00","287.54","350.20","? Energy Deficit"
"02.09.20 04:00","295.61","330.61","286.74","340.53","? Energy Deficit"
"02.09.20 05:00","294.63","325.00","285.79","334.75","? Energy Deficit"
"02.09.20 06:00","297.53","322.53","288.60","332.21","? Energy Deficit"
"02.09.20 07:00","300.82","325.82","291.80","335.59","? Energy Deficit"
"02.09.20 08:00","313.59","333.59","304.18","343.60","? Energy Deficit"
"02.09.20 09:00","360.00","380.00","349.20","391.40","? Energy Deficit"
"02.09.20 10:00","400.00","410.00","388.00","422.30","? Energy Deficit"
"02.09.20 11:00","320.00","375.00","310.40","386.25","? Energy Deficit"
"02.09.20 12:00","317.52","348.00","307.99","358.44","? Energy Deficit"
"02.09.20 13:00","335.00","370.00","324.95","381.10","? Energy Deficit"
"02.09.20 14:00","400.01","455.02","388.01","468.67","? Energy Deficit"
"02.09.20 15:00","419.98","489.98","407.38","504.68","? Energy Deficit"
"02.09.20 16:00","435.00","540.00","421.95","556.20","? Energy Deficit"
"02.09.20 17:00","419.98","519.98","407.38","535.58","? Energy Deficit"
"02.09.20 18:00","335.00","435.00","324.95","448.05","? Energy Deficit"
"02.09.20 19:00","350.00","429.90","339.50","442.80","? Energy Deficit"
"02.09.20 20:00","359.99","445.00","349.19","458.35","? Energy Deficit"
"02.09.20 21:00","319.31","380.31","309.73","391.72","? Energy Deficit"
"02.09.20 22:00","315.66","376.00","306.19","387.28","? Energy Deficit"
"02.09.20 23:00","310.43","371.00","301.12","382.13","? Energy Deficit"
"03.09.20 00:00","310.54","320.54","301.22","330.16","? Energy Deficit"
"03.09.20 01:00","306.83","306.83","297.63","316.03","? Energy Deficit"
"03.09.20 02:00","300.00","320.00","291.00","329.60","? Energy Deficit"
"03.09.20 03:00","296.80","321.80","287.90","331.45","? Energy Deficit"
"03.09.20 04:00","295.81","305.81","286.94","314.98","? Energy Deficit"
"03.09.20 05:00","295.34","295.34","286.48","304.20","? Energy Deficit"
"03.09.20 06:00","297.96","297.96","289.02","306.90","? In Balance"
"03.09.20 07:00","300.69","218.88","212.31","309.71","?Energy Surplus"
"03.09.20 08:00","311.78","311.78","302.43","321.13","? Energy Deficit"
"03.09.20 09:00","317.20","367.20","307.68","378.22","? Energy Deficit"
"03.09.20 10:00","318.75","380.00","309.19","391.40","? Energy Deficit"
"03.09.20 11:00","319.95","417.95","310.35","430.49","? Energy Deficit"
"03.09.20 12:00","317.22","407.00","307.70","419.21","? Energy Deficit"
"03.09.20 13:00","340.00","444.22","329.80","457.55","? Energy Deficit"
"03.09.20 14:00","421.57","599.00","408.92","616.97","? Energy Deficit"
"03.09.20 15:00","423.42","621.42","410.72","640.06","? Energy Deficit"
"03.09.20 16:00","430.00","2,000.00","417.10","2,060.00","? Energy Deficit"
"03.09.20 17:00","422.69","599.00","410.01","616.97","? Energy Deficit"
"03.09.20 18:00","340.00","450.00","329.80","463.50","? Energy Deficit"
"03.09.20 19:00","364.56","464.56","353.62","478.50","? Energy Deficit"
